;Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Metropolitan Areas;Large cities;Median Age;Coastal Locations
445;Estrela, Lisboa;Under Consultation;1.0;1.0;84.0;84.0;1.0;3.0;Not available;True;True;True;True;44,8;False
446;Travassô, Águeda;Under Consultation;2.0;2.0;98.0;98.0;2.0;0.0;Not available;True;False;False;False;49,1;False
447;Currelos, Papízios e Sobral, Viseu;145.000;3.0;1.0;111.0;148.0;;;Not available;True;False;False;False;46,9;False
448;Tomar (São João Baptista) e Santa Maria dos Olivais, Santarém;140.000;3.0;1.0;71.0;71.0;;;Not available;True;False;False;False;52,8;False
449;Esposende, Esposende;245.000;3.0;2.0;161.0;161.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;45,3;False
450;Urb. Colinas do Cruzeiro, Odivelas;548.000;3.0;2.0;126.0;206.0;4.0;5.0;Energy Performance Certificate;False;False;False;False;43,7;False
451;Souto do Rio, Águeda;120.000;2.0;1.0;78.0;78.0;0.0;2.0;Not available;True;False;False;False;49,1;False
452;São Félix da Marinha, Porto;480.000;3.0;2.0;145.0;196.0;2.0;1.0;Energy Performance Certificate;False;False;True;True;47;True
453;Belas, Sintra;220.000;2.0;1.0;63.0;67.0;;;Not available;True;False;False;False;43,7;False
454;Galiza, Porto;195.000;1.0;1.0;46.0;51.0;0.0;8.0;Energy Performance Certificate;False;False;True;True;47;True
455;Paços de Ferreira, Porto;157.000;2.0;1.0;95.0;95.0;1.0;2.0;Not available;True;False;True;True;47;True
456;Portimão, Faro;262.500;;2.0;;;1.0;7.0;Not available;False;False;False;False;45,7;True
457;Massamá 2ª Fase, Sintra;180.000;2.0;1.0;70.0;85.0;;;Not available;True;False;False;False;43,7;False
458;Sacavém e Prior Velho, Lisboa;194.000;2.0;1.0;70.0;;;;Not available;True;True;True;True;44,8;False
459;Paranhos, Porto;Under Consultation;3.0;2.0;130.0;135.0;;;Not available;True;False;True;True;47;True
460;Hospital da Cruz Vermelha - Laranjeiras, Lisboa;550.000;3.0;2.0;145.0;145.0;;;Not available;True;True;True;True;44,8;False
461;Pedroso e Seixezelo, Porto;160.000;1.0;1.0;;;;;Not available;True;False;True;True;47;True
462;Torres Novas (São Pedro), Lapas e Ribeira Branca, Santarém;94.500;4.0;;;;;;Not available;True;False;False;False;50,2;False
463;Santa Marinha e São Pedro da Afurada, Porto;240.000;3.0;2.0;101.0;105.0;;;Not available;True;False;True;True;47;True
464;Seixal, Arrentela e Aldeia de Paio Pires, Setúbal;455.000;2.0;2.0;80.0;98.0;1.0;0.0;Energy Performance Certificate;False;False;True;True;44,9;False
465;Ermesinde, Porto;180.000;2.0;2.0;89.0;93.0;1.0;1.0;Energy Performance Certificate;False;False;True;True;47;True
466;Laranjeiras Metro, Lisboa;810.000;4.0;2.0;170.0;170.0;2.0;7.0;Energy Performance Certificate;False;True;True;True;44,8;False
467;Massamá 6ª Fase, Sintra;329.900;3.0;2.0;140.0;155.0;;;Not available;True;False;False;False;43,7;False
468;Ferrel, Peniche;355.000;3.0;2.0;91.0;115.0;1.0;1.0;Not available;True;False;False;False;47,9;True
469;Ferrel, Peniche;340.000;3.0;2.0;75.0;96.0;1.0;1.0;Not available;True;False;False;False;47,9;True
470;Ferrel, Peniche;240.000;1.0;1.0;53.0;67.0;1.0;0.0;Not available;True;False;False;False;47,9;True
471;Ferrel, Peniche;290.000;2.0;2.0;66.0;81.0;1.0;0.0;Not available;True;False;False;False;47,9;True
472;Ferrel, Peniche;330.000;3.0;2.0;74.0;96.0;1.0;0.0;Not available;True;False;False;False;47,9;True
473;Coronado (São Romão e São Mamede), Porto;174.000;3.0;2.0;130.0;147.0;1.0;2.0;Energy Performance Certificate;False;False;True;True;47;True
474;Esposende, Marinhas e Gandra, Braga;210.000;2.0;2.0;85.0;91.0;1.0;;Not available;True;False;False;True;44,4;False
475;Santa Maria Maior, Lisboa;165.000;1.0;1.0;50.0;50.0;;;Not available;True;True;True;True;44,8;False
476;Póvoa de Varzim, Beiriz e Argivai, Porto;Under Consultation;3.0;2.0;100.0;100.0;1.0;1.0;Not available;True;False;True;True;47;True
477;Valadares e Francelos, Vila Nova de Gaia;174.900;2.0;2.0;70.0;77.0;1.0;;Not available;True;False;True;True;46,8;False
478;Gondomar (São Cosme), Valbom e Jovim, Porto;149.000;2.0;2.0;80.0;93.0;1.0;4.0;Energy Performance Certificate;False;False;True;True;47,1;True
479;Campolide, Lisboa;284.000;2.0;1.0;71.0;82.0;;;Not available;True;True;True;True;44,8;False
480;Covilhã, Covilhã;85.000;2.0;1.0;72.0;90.0;;;Not available;True;False;False;False;52;False
481;Mina, Amadora;200.000;2.0;1.0;50.0;60.0;;;Not available;True;False;True;True;44,1;False
482;St.º António da Caparica, Almada;449.900;4.0;2.0;112.0;148.0;;;Not available;True;False;True;False;46,3;False
483;São Domingos de Rana, Lisboa;590.000;3.0;2.0;100.0;161.0;2.0;1.0;Energy Performance Certificate;False;True;True;True;44,8;False
484;Vila Chã, Vila do Conde;269.000;3.0;2.0;97.0;97.0;1.0;3.0;Not available;True;False;False;False;45,7;False
485;São Félix da Marinha III, Vila Nova de Gaia;233.000;3.0;3.0;125.0;125.0;2.0;0.0;Not available;True;False;True;True;46,8;False
486;Avenidas Novas, Lisboa;480.000;;;;;1.0;;Not available;True;True;True;True;44,8;False
487;Vilar de Andorinho, Vila Nova de Gaia;155.000;2.0;1.0;92.0;100.0;0.0;1.0;Energy Performance Certificate;False;False;True;True;46,8;False
488;Caparica e Trafaria, Setúbal;199.000;2.0;1.0;75.0;77.0;1.0;1.0;Not available;True;False;True;True;46,6;False
489;Bairro Norton de Matos, Coimbra;310.000;3.0;2.0;97.0;119.0;;;Not available;True;False;False;True;48,3;False
490;Monte, Murtosa;157.000;2.0;1.0;93.0;113.0;1.0;2.0;Not available;True;False;False;False;46,8;False
491;Cacém e São Marcos, Lisboa;165.000;2.0;1.0;66.0;73.0;;;Not available;True;True;True;True;44,8;False
492;Lordelo do Ouro, Porto;525.000;5.0;3.0;166.0;197.0;1.0;3.0;Energy Performance Certificate;False;False;True;True;47;True
493;Braga (Maximinos, Sé e Cividade), Braga;190.000;3.0;2.0;124.0;124.0;1.0;2.0;Not available;True;False;False;True;44,4;False
494;Quarteira, Faro;360.000;2.0;;;;;;Not available;True;False;False;False;45,7;True
495;Campanhã, Porto;187.000;3.0;2.0;92.0;96.0;0.0;3.0;Not available;True;False;True;True;47;True
496;Lagoa e Carvoeiro, Faro;235.000;2.0;1.0;71.0;100.0;;;Not available;True;False;False;False;45,7;True
497;Ajuda, Lisboa;199.000;1.0;1.0;50.0;55.0;0.0;1.0;Not available;True;True;True;True;44,8;False
498;São Cosme Zona 3, Gondomar;Under Consultation;2.0;1.0;85.0;94.0;1.0;1.0;Energy Performance Certificate;False;False;True;False;47,1;False
499;Paços de Ferreira, Porto;Under Consultation;2.0;1.0;76.0;76.0;1.0;2.0;Not available;True;False;True;True;47;True
500;Av. Fernão Magalhães, Coimbra;257.500;1.0;1.0;50.0;68.0;1.0;9.0;Energy Performance Certificate;False;False;False;True;48,3;False
501;Rio Tinto - Cidade Jovem, Gondomar;260.000;2.0;2.0;108.0;108.0;1.0;4.0;Energy Performance Certificate;False;False;True;False;47,1;False
502;Gulpilhares e Valadares, Porto;185.000;2.0;2.0;94.0;108.0;1.0;1.0;Energy Performance Certificate;False;False;True;True;47;True
503;Estrada Monumental, Funchal;595.000;2.0;2.0;64.0;94.0;2.0;9.0;Energy Performance Certificate;False;False;False;True;48;False
504;Oliveira do Douro, Porto;198.000;2.0;2.0;97.0;116.0;1.0;6.0;Energy Performance Certificate;False;False;True;True;47;True
505;Cidade da Maia, Porto;269.000;3.0;2.0;101.0;106.0;1.0;4.0;Energy Performance Certificate;False;False;True;True;45,5;True
506;S.Cosme, Gondomar;Under Consultation;1.0;1.0;46.0;46.0;0.0;0.0;Not available;True;False;True;False;47,1;False
507;Linda-a-velha, Oeiras;255.000;2.0;1.0;70.0;77.0;;;Not available;True;False;False;False;46,5;False
508;Lourinhã e Atalaia, Lisboa;173.000;1.0;1.0;51.0;57.0;1.0;;Not available;True;True;True;True;47,1;False
509;Massamá, Sintra;190.000;2.0;1.0;74.0;82.0;;;Not available;True;False;False;False;43,7;False
510;Gualtar, Braga;209.000;3.0;2.0;108.0;135.0;1.0;3.0;Not available;True;False;False;True;44,4;False
511;Lourinhã e Atalaia, Lisboa;280.000;;;;;2.0;;Not available;False;True;True;True;47,1;False
512;Torno, Porto;123.500;2.0;1.0;102.0;117.0;1.0;3.0;Energy Performance Certificate;False;False;True;True;47;True
513;Cacilhas, Almada;185.000;2.0;1.0;69.0;72.0;;;Not available;True;False;True;False;46,3;False
514;Cacém e São Marcos, Lisboa;198.000;2.0;1.0;83.0;90.0;;;Not available;True;True;True;True;44,8;False
515;Cova da Piedade, Almada;329.000;2.0;2.0;94.0;122.0;1.0;2.0;Energy Performance Certificate;False;False;True;False;46,3;False
516;Samora Correia, Santarém;155.000;3.0;2.0;121.0;121.0;;;Not available;True;False;False;False;48,3;False
517;Alhandra, Vila Franca de Xira;125.000;2.0;1.0;45.0;64.0;;;Not available;True;False;False;False;44,1;False
518;Matosinhos e Leça da Palmeira, Porto;135.000;3.0;1.0;80.0;145.0;;;Not available;True;False;True;True;47,5;True
519;Ramalde, Porto;Under Consultation;1.0;1.0;70.0;70.0;1.0;0.0;Energy Performance Certificate;False;False;True;True;47;True
520;Mafamude e Vilar do Paraíso, Porto;275.000;2.0;2.0;117.0;134.0;1.0;5.0;Not available;False;False;True;True;47;True
521;Mafamude e Vilar do Paraíso, Porto;270.000;2.0;2.0;117.0;134.0;1.0;4.0;Not available;False;False;True;True;47;True
522;Mafamude e Vilar do Paraíso, Porto;190.000;1.0;2.0;85.0;85.0;;;Not available;True;False;True;True;47;True
523;Mafamude e Vilar do Paraíso, Porto;265.000;2.0;2.0;104.0;120.0;1.0;4.0;Not available;False;False;True;True;47;True
524;Mafamude e Vilar do Paraíso, Porto;270.000;2.0;2.0;117.0;137.0;1.0;3.0;Not available;False;False;True;True;47;True
525;Mafamude e Vilar do Paraíso, Porto;180.000;1.0;2.0;85.0;85.0;;;Not available;True;False;True;True;47;True
526;Mafamude e Vilar do Paraíso, Porto;265.000;2.0;2.0;117.0;133.0;1.0;2.0;Not available;False;False;True;True;47;True
527;Mafamude e Vilar do Paraíso, Porto;175.000;1.0;2.0;85.0;85.0;;;Not available;True;False;True;True;47;True
528;Mafamude e Vilar do Paraíso, Porto;210.000;2.0;2.0;104.0;104.0;;;Not available;True;False;True;True;47;True
529;Mafamude e Vilar do Paraíso, Porto;250.000;2.0;2.0;117.0;135.0;1.0;1.0;Not available;False;False;True;True;47;True
530;Mafamude e Vilar do Paraíso, Porto;170.000;1.0;2.0;86.0;86.0;;;Not available;True;False;True;True;47;True
531;Mafamude e Vilar do Paraíso, Porto;200.000;2.0;2.0;104.0;122.0;;;Not available;True;False;True;True;47;True
532;Mafamude e Vilar do Paraíso, Porto;160.000;1.0;2.0;67.0;67.0;;;Not available;True;False;True;True;47;True
533;Mafamude e Vilar do Paraíso, Porto;195.000;2.0;2.0;104.0;122.0;1.0;0.0;Not available;False;False;True;True;47;True
534;Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Lisboa;490.000;3.0;2.0;103.0;113.0;;;Not available;True;True;True;True;44,8;False
535;Selho (São Jorge), Braga;216.000;3.0;3.0;140.0;154.0;2.0;4.0;Not available;True;False;False;True;44,4;False
536;Graça, Lisboa;350.000;2.0;1.0;61.0;71.0;;;Not available;True;True;True;True;44,8;False
537;Chiado, Lisboa;895.000;3.0;4.0;147.0;163.0;;;Not available;True;True;True;True;44,8;False
538;Praça Rainha D. Amélia, Porto;165.000;1.0;1.0;40.0;43.0;;;Not available;True;False;True;True;47;True
539;Montijo e Afonsoeiro, Setúbal;197.500;3.0;2.0;78.0;95.0;;;Not available;True;False;True;True;42,6;False
540;Avenidas Novas, Lisboa;335.000;0.0;1.0;47.0;64.0;1.0;4.0;Energy Performance Certificate;False;True;True;True;44,8;False
541;Castelo Branco, Castelo Branco;137.000;4.0;2.0;148.0;195.0;;;Not available;True;False;False;False;50,5;False
542;Moncarapacho e Fuseta, Faro;165.000;1.0;1.0;64.0;64.0;1.0;1.0;Not available;True;False;False;False;45,7;True
543;São Domingos de Benfica, Lisboa;375.000;1.0;1.0;62.0;62.0;1.0;2.0;Not available;True;True;True;True;44,8;False
544;Vila do Conde, Porto;950.000;4.0;3.0;181.0;190.0;2.0;1.0;Energy Performance Certificate;False;False;True;True;47;True
545;Penha de França, Lisboa;350.000;3.0;1.0;;;;;Not available;True;True;True;True;44,8;False
546;Lavradio, Barreiro;115.000;2.0;1.0;52.0;61.0;;;Not available;True;False;False;False;47;False
547;Lumiar, Lisboa;299.000;1.0;1.0;66.0;66.0;1.0;0.0;Energy Performance Certificate;False;True;True;True;44,8;False
548;Estrada Monumental, Funchal;580.000;2.0;2.0;64.0;94.0;2.0;10.0;Energy Performance Certificate;False;False;False;True;48;False
549;ERA Palmela Azeitao, Seixal;170.000;2.0;1.0;79.0;87.0;;;Not available;True;False;False;False;45,3;False
550;Santa Marta do Pinhal, Seixal;182.000;2.0;1.0;77.0;77.0;;;Not available;True;False;False;False;44,9;False
551;ERA Palmela Azeitao, Barreiro;225.000;3.0;2.0;111.0;125.0;;;Not available;True;False;False;False;47;False
552;Massarelos, Porto;1.850.000;3.0;3.0;268.0;345.0;4.0;5.0;Not available;True;False;True;True;47;True
553;ERA Palmela Azeitao, Moita;120.000;1.0;1.0;51.0;61.0;;;Not available;True;False;False;False;45;False
554;Vale Churido, Bragança;139.000;3.0;2.0;;;;;Not available;True;False;False;True;44,4;False
555;Loures, Loures;240.000;2.0;1.0;63.0;63.0;;;Not available;True;False;False;False;44,6;False
556;Lamego (Almacave e Sé), Viseu;Under Consultation;3.0;2.0;101.0;111.0;1.0;2.0;Not available;True;False;False;False;51,5;False
557;Marvila, Lisboa;255.000;2.0;1.0;77.0;77.0;;;Not available;True;True;True;True;44,8;False
558;Santa Clara, Coimbra;168.000;2.0;1.0;90.0;98.0;1.0;;Not available;True;False;False;True;48,3;False
559;Rio Tinto, Porto;180.000;2.0;2.0;81.0;98.0;1.0;2.0;Energy Performance Certificate;False;False;True;True;47;True
560;Vendas Novas, Évora;165.000;3.0;2.0;110.0;110.0;;;Not available;True;False;False;False;46,9;False
561;Loulé (São Sebastião), Faro;265.000;2.0;1.0;60.0;79.0;0.0;0.0;Not available;True;False;False;False;45,7;True
562;Loulé (São Sebastião), Faro;265.000;2.0;1.0;59.0;74.0;0.0;1.0;Not available;True;False;False;False;45,7;True
563;Loulé, Loulé;270.000;2.0;1.0;61.0;78.0;0.0;1.0;Not available;True;False;False;False;46,9;False
564;Marinha Grande, Leiria;155.000;3.0;2.0;100.0;108.0;1.0;2.0;Not available;True;False;False;False;46,4;False
565;Canidelo, Porto;625.000;2.0;2.0;92.0;105.0;2.0;3.0;Energy Performance Certificate;False;False;True;True;47;True
566;Castelo Branco, Castelo Branco;215.000;3.0;3.0;110.0;138.0;3.0;1.0;Not available;True;False;False;False;50,5;False
567;Vila Nova de Paiva, Vila Nova de Paiva;99.000;3.0;2.0;96.0;109.0;1.0;1.0;Not available;True;False;False;False;53,7;False
568;Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu), Coimbra;237.500;4.0;2.0;99.0;128.0;1.0;2.0;Not available;False;False;False;True;48,3;False
569;Granja Park, Castelo Branco;227.000;3.0;2.0;117.0;140.0;1.0;3.0;Energy Performance Certificate;False;False;False;False;50,5;False
570;Ajuda, Funchal;480.000;3.0;2.0;113.0;134.0;3.0;4.0;Energy Performance Certificate;False;False;False;True;48;False
571;Santa Marinha e São Pedro da Afurada, Porto;200.000;1.0;2.0;59.0;69.0;1.0;1.0;Not available;True;False;True;True;47;True
572;Entroncamento, Entroncamento;156.000;3.0;2.0;108.0;108.0;1.0;;Not available;True;False;False;False;45,5;False
573;Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;290.000;;;;;;3.0;Not available;False;False;True;True;47;True
574;Guarda, Guarda;82.380;4.0;2.0;80.0;90.0;;;Not available;True;False;False;False;49,6;False
575;Pampilhosa, Mealhada;120.000;2.0;1.0;92.0;101.0;;;Not available;True;False;False;False;49,3;False
576;Campolide, Lisboa;420.000;2.0;1.0;62.0;62.0;0.0;8.0;Energy Performance Certificate;False;True;True;True;44,8;False
577;Custóias, Matosinhos;178.000;2.0;1.0;68.0;83.0;1.0;0.0;Not available;True;False;True;False;47,5;False
578;Campo de Ourique, Lisboa;349.500;1.0;1.0;54.0;61.0;;;Not available;True;True;True;True;44,8;False
579;Alto Sto Amaro, Lisboa;250.000;1.0;1.0;27.0;37.0;0.0;0.0;Energy Performance Certificate;False;True;True;True;44,8;False
580;Alhos Vedros, Setúbal;95.000;1.0;;;;;;Not available;True;False;True;True;46,6;False
581;Vila Praia de Âncora, Viana do Castelo;280.000;4.0;3.0;155.0;161.0;2.0;;Not available;True;False;False;False;48,8;True
582;Paços de Ferreira, Porto;270.000;3.0;3.0;130.0;143.0;2.0;0.0;Energy Performance Certificate;False;False;True;True;47;True
583;Ponta Delgada (São Pedro), Ilha de São Miguel;445.000;3.0;2.0;197.0;197.0;2.0;3.0;Not available;False;False;False;False;42,2;False
584;Corroios, Setúbal;170.000;3.0;1.0;93.0;93.0;;;Not available;True;False;True;True;46,6;False
585;Santa Marinha e Afurada, Vila Nova de Gaia;1.250.000;3.0;4.0;181.0;223.0;3.0;10.0;Not available;True;False;True;True;46,8;False
586;Vilamoura, Loulé;350.000;1.0;1.0;62.0;62.0;0.0;3.0;Not available;True;False;False;False;46,9;False
587;Santa Marinha e Afurada, Vila Nova de Gaia;650.000;3.0;3.0;128.0;156.0;2.0;6.0;Not available;True;False;True;True;46,8;False
588;São Marcos, Sintra;189.900;2.0;1.0;76.0;82.0;;;Not available;True;False;False;False;43,7;False
589;Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;460.000;2.0;3.0;;;;;Not available;True;False;True;True;47;True
590;Barcarena, Lisboa;189.000;2.0;2.0;75.0;81.0;;;Not available;True;True;True;True;44,8;False
591;Barcouço, Mealhada;129.500;2.0;1.0;105.0;128.0;1.0;1.0;Not available;True;False;False;False;49,3;False
592;Rua do Brasil / Quinta D. João, Coimbra;220.000;2.0;1.0;82.0;90.0;;;Not available;True;False;False;True;48,3;False
593;Canidelo, Vila Nova de Gaia;600.000;2.0;2.0;92.0;105.0;2.0;1.0;Energy Performance Certificate;False;False;True;True;46,8;False
594;Praia Leça da Palmeira, Matosinhos;650.000;3.0;2.0;134.0;201.0;3.0;5.0;Not available;False;False;True;False;47,5;False
595;Encosta da Barata, Abrantes;Under Consultation;3.0;2.0;116.0;127.0;;;Not available;True;False;False;False;53,4;False
596;Aguada de Cima, Águeda;148.000;2.0;1.0;88.0;88.0;2.0;1.0;Not available;True;False;False;False;49,1;False
597;Centro de Carnaxide, Oeiras;Under Consultation;3.0;2.0;87.0;97.0;;;Not available;True;False;False;False;46,5;False
598;Laranjeiro, Almada;145.500;1.0;1.0;45.0;50.0;;;Not available;True;False;True;False;46,3;False
599;Águas Santas, Porto;195.000;2.0;2.0;106.0;128.0;1.0;5.0;Energy Performance Certificate;False;False;True;True;47;True
600;Parque das Nações, Lisboa;1.150.000;3.0;3.0;149.0;149.0;2.0;9.0;Not available;False;True;True;True;44,8;False
601;Cidade da Maia, Porto;180.000;2.0;1.0;82.0;82.0;;;Not available;True;False;True;True;45,5;True
602;Santa Marinha, Vila Nova de Gaia;130.000;1.0;1.0;45.0;48.0;;;Not available;True;False;True;True;46,8;False
603;Arroja, Odivelas;195.000;2.0;1.0;75.0;75.0;;;Not available;True;False;False;False;43,7;False
604;Alfena, Porto;172.500;3.0;2.0;112.0;125.0;1.0;0.0;Not available;True;False;True;True;47;True
605;Peniche, Peniche;162.500;2.0;1.0;82.0;82.0;1.0;1.0;Not available;True;False;False;False;47,9;True
606;Alcabideche, Lisboa;480.000;3.0;2.0;80.0;86.0;1.0;0.0;Not available;True;True;True;True;44,8;False
607;Albufeira e Olhos de Água, Faro;159.500;1.0;1.0;57.0;65.0;;;Not available;True;False;False;False;44,4;True
608;Almancil Centro, Loulé;290.000;2.0;2.0;157.0;176.0;1.0;3.0;Not available;False;False;False;False;46,9;False
609;Bonfim, Porto;165.000;2.0;1.0;86.0;196.0;;;Not available;True;False;True;True;47;True
610;Massamá 2ª Fase, Sintra;219.900;2.0;1.0;83.0;96.0;;;Not available;True;False;False;False;43,7;False
611;Arcos de Valdevez (Salvador), Vila Fonche e Parada, Viana do Castelo;207.000;3.0;2.0;192.0;152.0;1.0;;Not available;True;False;False;False;55,4;True
612;Covilhã, Covilhã;175.000;3.0;2.0;96.0;100.0;;;Not available;True;False;False;False;52;False
613;Faro (Sé e São Pedro), Faro;240.000;2.0;1.0;66.0;79.0;1.0;3.0;Not available;True;False;False;False;45,7;True
614;Consolação, Peniche;198.000;2.0;1.0;63.0;96.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;47,9;True
615;Espinho I, Espinho;195.000;1.0;1.0;57.0;57.0;1.0;1.0;Not available;False;False;False;False;51,1;False
616;Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa;219.000;2.0;1.0;92.0;92.0;;;Not available;True;True;True;True;44,8;False
617;São Martinho, Ilha da Madeira;525.000;3.0;2.0;108.0;156.0;2.0;4.0;Not available;True;False;False;False;;False
618;Estrela, Lisboa;435.000;2.0;1.0;76.0;76.0;;;Not available;True;True;True;True;44,8;False
619;Oliveira do Douro, Porto;184.500;3.0;2.0;99.0;112.0;1.0;5.0;Energy Performance Certificate;False;False;True;True;47;True
620;Quinta da Cabrinha, Seixal;259.500;3.0;2.0;99.0;115.0;;;Not available;True;False;False;False;44,9;False
621;C2 - Quinta dos Bispos, Vila Nova de Gaia;170.000;2.0;2.0;94.0;100.0;1.0;3.0;Energy Performance Certificate;False;False;True;True;46,8;False
622;Lisboa, Lisboa;595.000;3.0;2.0;126.0;126.0;1.0;6.0;Energy Performance Certificate;False;True;True;True;44,8;False
623;Armação de Pêra, Silves;235.000;2.0;2.0;71.0;90.0;1.0;4.0;Energy Performance Certificate;False;False;False;False;47,1;True
624;Póvoa de Santa Iria e Forte da Casa, Lisboa;183.000;2.0;1.0;50.0;55.0;0.0;1.0;Not available;True;True;True;True;44,8;False
625;Bemposta, Portimão;210.000;1.0;1.0;60.0;71.0;;;Not available;True;False;False;False;45,5;True
626;Sesimbra (Castelo), Setúbal;308.000;3.0;2.0;115.0;146.0;;;Not available;True;False;True;True;44,8;True
627;Pinheiro Manso, Porto;240.000;3.0;2.0;106.0;119.0;1.0;2.0;Energy Performance Certificate;False;False;True;True;47;True
628;Faro (Sé e São Pedro), Faro;250.000;3.0;2.0;83.0;102.0;;;Not available;True;False;False;False;45,7;True
629;Marquês, Porto;374.771;2.0;2.0;93.0;134.0;1.0;3.0;Not available;True;False;True;True;47;True
630;Marquês, Porto;375.475;2.0;2.0;97.0;132.0;1.0;2.0;Not available;True;False;True;True;47;True
631;Marquês, Porto;364.500;2.0;2.0;93.0;119.0;1.0;2.0;Not available;True;False;True;True;47;True
632;Marquês, Porto;645.000;2.0;2.0;163.0;329.0;2.0;0.0;Not available;True;False;True;True;47;True
633;Moscavide e Portela, Lisboa;350.000;4.0;2.0;100.0;100.0;;;Not available;True;True;True;True;44,8;False
634;Gondomar (São Cosme), Valbom e Jovim, Porto;168.000;;;;;1.0;5.0;Not available;False;False;True;True;47,1;True
635;Pinhal Novo, Setúbal;247.500;3.0;2.0;118.0;208.0;2.0;0.0;Energy Performance Certificate;False;False;True;True;46,6;False
636;São Martinho, Ilha da Madeira;390.000;;;;;2.0;;Not available;False;False;False;False;;False
637;Águas Livres, Lisboa;160.000;2.0;1.0;72.0;78.0;;;Not available;True;True;True;True;44,8;False
638;Ajuda, Lisboa;379.000;2.0;1.0;60.0;60.0;0.0;7.0;Energy Performance Certificate;False;True;True;True;44,8;False
639;Caniço de Baixo, Santa Cruz;380.000;3.0;2.0;115.0;150.0;2.0;2.0;Not available;True;False;False;False;43,7;False
640;Tavira (Santa Maria e Santiago), Faro;260.000;2.0;2.0;86.0;102.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;45,7;True
641;Paderne, Faro;138.500;2.0;1.0;86.0;86.0;;;Not available;True;False;False;False;45,7;True
642;Falagueira-Venda Nova, Lisboa;269.900;2.0;1.0;85.0;113.0;;;Not available;True;True;True;True;44,8;False
643;Paços de Ferreira, Porto;250.000;2.0;2.0;106.0;117.0;2.0;1.0;Not available;True;False;True;True;47;True
644;São Félix da Marinha, Porto;310.000;3.0;2.0;95.0;115.0;1.0;1.0;Not available;True;False;True;True;47;True
645;Marvila - Lisboa, Lisboa;217.500;3.0;2.0;73.0;77.0;;;Not available;True;True;True;True;44,8;False
646;Pedroso e Seixezelo, Porto;249.500;2.0;2.0;110.0;126.0;1.0;2.0;Energy Performance Certificate;False;False;True;True;47;True
647;Avanca, Estarreja;173.500;4.0;2.0;169.0;169.0;1.0;0.0;Not available;False;False;False;False;48;False
648;Ponta Delgada (São José), Ilha de São Miguel;230.000;3.0;1.0;103.0;103.0;;;Not available;True;False;False;False;42,2;False
649;São Gonçalo de Lagos, Faro;337.500;2.0;2.0;92.0;149.0;2.0;2.0;Not available;True;False;False;False;45,7;True
650;Sines, Setúbal;195.000;2.0;2.0;89.0;89.0;1.0;0.0;Not available;True;False;True;True;46,6;False
651;Costa da Caparica, Almada;268.000;1.0;1.0;43.0;47.0;;;Not available;True;False;True;False;46,3;True
652;Estoril, Cascais;255.000;1.0;1.0;62.0;62.0;1.0;;Not available;True;False;False;False;46,9;True
653;Torres do Restelo, Lisboa;695.000;3.0;3.0;140.0;175.0;2.0;1.0;Energy Performance Certificate;False;True;True;True;44,8;False
654;Praça Rainha D. Amélia, Porto;178.900;1.0;1.0;36.0;45.0;;;Not available;True;False;True;True;47;True
655;Praça Rainha D. Amélia, Porto;162.300;1.0;1.0;34.0;43.0;;;Not available;True;False;True;True;47;True
656;Praça Rainha D. Amélia, Porto;165.700;1.0;1.0;34.0;43.0;;;Not available;True;False;True;True;47;True
657;Praça Rainha D. Amélia, Porto;158.900;1.0;1.0;34.0;43.0;;;Not available;True;False;True;True;47;True
658;Praça Rainha D. Amélia, Porto;197.200;1.0;1.0;34.0;71.0;;;Not available;True;False;True;True;47;True
659;Praça Rainha D. Amélia, Porto;572.800;2.0;2.0;162.0;215.0;;;Not available;True;False;True;True;47;True
660;Olivais Sul, Lisboa;315.000;3.0;2.0;75.0;75.0;;;Not available;True;True;True;True;44,8;False
661;Gouveia, Guarda;Under Consultation;3.0;3.0;158.0;;;;Not available;True;False;False;False;58,1;False
662;Alvalade, Lisboa;1.390.000;5.0;4.0;284.0;368.0;5.0;7.0;Energy Performance Certificate;False;True;True;True;44,8;False
663;São Martinho, Ilha da Madeira;258.000;3.0;2.0;101.0;101.0;1.0;4.0;Not available;True;False;False;False;;False
664;Gulpilhares e Valadares, Porto;235.000;2.0;2.0;101.0;101.0;2.0;2.0;Energy Performance Certificate;False;False;True;True;47;True
665;Linda-a-Velha, Oeiras;167.500;3.0;2.0;97.0;108.0;0.0;3.0;Not available;False;False;False;False;46,5;False
666;Av. Novas/ Av. República, Lisboa;587.000;5.0;2.0;127.0;130.0;;;Not available;True;True;True;True;44,8;False
667;Fânzeres - Regadas, Gondomar;225.000;3.0;3.0;106.0;106.0;1.0;4.0;Not available;True;False;True;False;47,1;False
