Location;Distance to Nearest Coastal Point (km)
Rio Tinto - Medancelhe, Gondomar;217
Rio Tinto - Medancelhe, Gondomar;61
Rio Tinto - Medancelhe, Gondomar;9
Arroios, Lisboa;69
Arroios, Lisboa;27
Arroios, Lisboa;12
Fafe, Braga;256
Fafe, Braga;61
Fafe, Braga;53
Fafe, Braga;50
Bonfim, Porto;213
Bonfim, Porto;63
Bonfim, Porto;6
Benfica, Lisboa;65
Benfica, Lisboa;21
Benfica, Lisboa;12
Benfica, Lisboa;9
Misericórdia, Lisboa;71
Misericórdia, Lisboa;26
Misericórdia, Lisboa;9
Gouveia, Guarda;198
Gouveia, Guarda;169
Gouveia, Guarda;116
Gouveia, Guarda;105
Alvalade, Lisboa;66
Alvalade, Lisboa;27
Alvalade, Lisboa;14
São Félix da Marinha I, Vila Nova de Gaia;199
São Félix da Marinha I, Vila Nova de Gaia;75
São Félix da Marinha I, Vila Nova de Gaia;13
São Félix da Marinha I, Vila Nova de Gaia;2
Consolação, Peniche;0
Aviz, Porto;213
Aviz, Porto;62
Aviz, Porto;3
Aires, Palmela;93
Aires, Palmela;51
Aires, Palmela;31
Santo António, Lisboa;69
Santo António, Lisboa;26
Santo António, Lisboa;11
Povoa de Santa Iria  e Forte da Casa, Vila Franca , Vila Franca de Xira;57
Povoa de Santa Iria  e Forte da Casa, Vila Franca , Vila Franca de Xira;37
Povoa de Santa Iria  e Forte da Casa, Vila Franca , Vila Franca de Xira;28
Povoa de Santa Iria  e Forte da Casa, Vila Franca , Vila Franca de Xira;26
Monserrate, Viana do Castelo;267
Monserrate, Viana do Castelo;0
Águas Santas, Porto;219
Águas Santas, Porto;58
Águas Santas, Porto;10
Canidelo, Porto;208
Canidelo, Porto;65
Canidelo, Porto;3
Bustos, Oliveira do Bairro;145
Bustos, Oliveira do Bairro;134
Bustos, Oliveira do Bairro;73
Bustos, Oliveira do Bairro;56
Bustos, Oliveira do Bairro;43
Fenais da Luz, Ilha de São Miguel;1423
Fenais da Luz, Ilha de São Miguel;1415
Fenais da Luz, Ilha de São Miguel;1414
São Martinho do Bispo e Ribeira de Frades, Coimbra;125
São Martinho do Bispo e Ribeira de Frades, Coimbra;106
São Martinho do Bispo e Ribeira de Frades, Coimbra;89
São Martinho do Bispo e Ribeira de Frades, Coimbra;36
Pechão, Faro;283
Pechão, Faro;59
Paredes, Porto;222
Paredes, Porto;65
Paredes, Porto;21
Nogueira, Fraião e Lamaçães, Braga;258
Nogueira, Fraião e Lamaçães, Braga;40
Nogueira, Fraião e Lamaçães, Braga;31
Póvoa de Lanhoso (Nossa Senhora do Amparo), Braga;266
Póvoa de Lanhoso (Nossa Senhora do Amparo), Braga;49
Póvoa de Lanhoso (Nossa Senhora do Amparo), Braga;43
Fânzeres e São Pedro da Cova, Porto;216
Fânzeres e São Pedro da Cova, Porto;65
Fânzeres e São Pedro da Cova, Porto;13
Fânzeres e São Pedro da Cova, Porto;216
Fânzeres e São Pedro da Cova, Porto;65
Fânzeres e São Pedro da Cova, Porto;13
Casal de Ouressa, Sintra;58
Casal de Ouressa, Sintra;12
Casal de Ouressa, Sintra;10
Areeiro, Lisboa;67
Areeiro, Lisboa;27
Areeiro, Lisboa;14
Cova da Piedade, Almada;74
Cova da Piedade, Almada;25
Cova da Piedade, Almada;7
Areeiro, Lisboa;67
Areeiro, Lisboa;27
Areeiro, Lisboa;14
Vialonga, Lisboa;55
Vialonga, Lisboa;36
Vialonga, Lisboa;28
Vialonga, Lisboa;26
Massamá e Monte Abraão, Lisboa;63
Massamá e Monte Abraão, Lisboa;15
Massamá e Monte Abraão, Lisboa;12
Massamá e Monte Abraão, Lisboa;6
Alfena, Porto;224
Alfena, Porto;56
Alfena, Porto;15
Águas Santas, Porto;219
Águas Santas, Porto;58
Águas Santas, Porto;10
Amora, Setúbal;81
Amora, Setúbal;30
Amora, Setúbal;9
Matosinhos e Leça da Palmeira, Porto;214
Matosinhos e Leça da Palmeira, Porto;58
Matosinhos e Leça da Palmeira, Porto;4
São Domingos, Santarém;57
Seixal, Arrentela e Aldeia de Paio Pires, Setúbal;80
Seixal, Arrentela e Aldeia de Paio Pires, Setúbal;31
Seixal, Arrentela e Aldeia de Paio Pires, Setúbal;11
Matosinhos e Leça da Palmeira, Porto;214
Matosinhos e Leça da Palmeira, Porto;58
Matosinhos e Leça da Palmeira, Porto;4
Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;213
Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;63
Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;5
Oliveira do Douro, Porto;211
Oliveira do Douro, Porto;65
Oliveira do Douro, Porto;7
Montijo e Afonsoeiro, Setúbal;77
Montijo e Afonsoeiro, Setúbal;43
Montijo e Afonsoeiro, Setúbal;25
Mina de Água, Lisboa;61
Mina de Água, Lisboa;19
Mina de Água, Lisboa;14
Mina de Água, Lisboa;10
Caldas da Rainha, Caldas da Rainha;21
Algés, Oeiras;70
Algés, Oeiras;19
Algés, Oeiras;6
Algés, Oeiras;5
S.Cosme, Gondomar;213
S.Cosme, Gondomar;67
S.Cosme, Gondomar;12
Baguim do Monte - Igreja, Gondomar;218
Baguim do Monte - Igreja, Gondomar;61
Baguim do Monte - Igreja, Gondomar;12
Torre da Marinha, Seixal;81
Torre da Marinha, Seixal;32
Torre da Marinha, Seixal;11
Damaia de Cima, Amadora;65
Damaia de Cima, Amadora;20
Damaia de Cima, Amadora;11
Damaia de Cima, Amadora;8
Matosinhos Sul, Matosinhos;214
Matosinhos Sul, Matosinhos;58
Matosinhos Sul, Matosinhos;3
Gueifães, Maia, Maia;220
Gueifães, Maia, Maia;56
Gueifães, Maia, Maia;9
Arnoso (Santa Maria e Santa Eulália) e Sezures, Braga;259
Arnoso (Santa Maria e Santa Eulália) e Sezures, Braga;38
Arnoso (Santa Maria e Santa Eulália) e Sezures, Braga;29
Santo Tirso, Santo Tirso;236
Santo Tirso, Santo Tirso;49
Santo Tirso, Santo Tirso;27
Estrela, Lisboa;70
Estrela, Lisboa;24
Estrela, Lisboa;8
PER2 - Carvalhos, Vila Nova de Gaia;204
PER2 - Carvalhos, Vila Nova de Gaia;73
PER2 - Carvalhos, Vila Nova de Gaia;13
PER2 - Carvalhos, Vila Nova de Gaia;8
Tavira (Santa Maria e Santiago), Faro;286
Tavira (Santa Maria e Santiago), Faro;79
Parque das Nações, Lisboa;65
Parque das Nações, Lisboa;31
Parque das Nações, Lisboa;18
Alfena, Porto;224
Alfena, Porto;56
Alfena, Porto;15
Parque das Nações, Lisboa;65
Parque das Nações, Lisboa;31
Parque das Nações, Lisboa;18
Meadela, Viana do Castelo;269
Meadela, Viana do Castelo;2
Parque das Nações, Lisboa;65
Parque das Nações, Lisboa;31
Parque das Nações, Lisboa;18
Amora, Setúbal;81
Amora, Setúbal;30
Amora, Setúbal;9
Parque das Nações, Lisboa;65
Parque das Nações, Lisboa;31
Parque das Nações, Lisboa;18
Marrazes e Barosa, Leiria;65
Marrazes e Barosa, Leiria;45
Parque das Nações, Lisboa;65
Parque das Nações, Lisboa;31
Parque das Nações, Lisboa;18
Corroios, Setúbal;78
Corroios, Setúbal;27
Corroios, Setúbal;7
Arroios, Lisboa;69
Arroios, Lisboa;27
Arroios, Lisboa;12
Urb. Colinas do Cruzeiro, Odivelas;61
Urb. Colinas do Cruzeiro, Odivelas;23
Urb. Colinas do Cruzeiro, Odivelas;16
Urb. Colinas do Cruzeiro, Odivelas;13
Marco, Porto;59
Marco, Porto;59
Marco, Porto;59
Marco, Porto;59
Parque das Nações - Expo Sul, Lisboa;66
Parque das Nações - Expo Sul, Lisboa;31
Parque das Nações - Expo Sul, Lisboa;17
Almancil, Faro;274
Almancil, Faro;45
Moncarapacho e Fuseta, Faro;284
Moncarapacho e Fuseta, Faro;66
Pinheiro da Bemposta, Oliveira de Azeméis;178
Pinheiro da Bemposta, Oliveira de Azeméis;105
Pinheiro da Bemposta, Oliveira de Azeméis;43
Pinheiro da Bemposta, Oliveira de Azeméis;27
Lamego (Almacave e Sé), Viseu;237
Lamego (Almacave e Sé), Viseu;108
Lamego (Almacave e Sé), Viseu;73
Lamego (Almacave e Sé), Viseu;71
Lamego (Almacave e Sé), Viseu;237
Lamego (Almacave e Sé), Viseu;108
Lamego (Almacave e Sé), Viseu;73
Lamego (Almacave e Sé), Viseu;71
Lamego (Almacave e Sé), Viseu;237
Lamego (Almacave e Sé), Viseu;108
Lamego (Almacave e Sé), Viseu;73
Lamego (Almacave e Sé), Viseu;71
Lamego (Almacave e Sé), Viseu;237
