Location;Distance to Nearest Coastal Point (km)
Lamego (Almacave e Sé), Viseu;108
Lamego (Almacave e Sé), Viseu;73
Lamego (Almacave e Sé), Viseu;71
Lamego (Almacave e Sé), Viseu;237
Lamego (Almacave e Sé), Viseu;108
Lamego (Almacave e Sé), Viseu;73
Lamego (Almacave e Sé), Viseu;71
Lamego (Almacave e Sé), Viseu;237
Lamego (Almacave e Sé), Viseu;108
Lamego (Almacave e Sé), Viseu;73
Lamego (Almacave e Sé), Viseu;71
Lamego (Almacave e Sé), Viseu;237
Lamego (Almacave e Sé), Viseu;108
Lamego (Almacave e Sé), Viseu;73
Lamego (Almacave e Sé), Viseu;71
Lamego (Almacave e Sé), Viseu;237
Lamego (Almacave e Sé), Viseu;108
Lamego (Almacave e Sé), Viseu;73
Lamego (Almacave e Sé), Viseu;71
Bonfim, Porto;213
Bonfim, Porto;63
Bonfim, Porto;6
Sátão, Sátão;209
Sátão, Sátão;140
Sátão, Sátão;91
Sátão, Sátão;81
Avenidas Novas, Lisboa;67
Avenidas Novas, Lisboa;26
Avenidas Novas, Lisboa;13
Gaeiras, Óbidos;20
Caparica e Trafaria, Setúbal;74
Caparica e Trafaria, Setúbal;21
Caparica e Trafaria, Setúbal;2
Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa;59
Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa;33
Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa;23
Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa;22
Funchal (Sé), Ilha da Madeira;999
Funchal (Sé), Ilha da Madeira;907
Olivais, Lisboa;64
Olivais, Lisboa;28
Olivais, Lisboa;16
Alverca do Ribatejo e Sobralinho, Lisboa;54
Alverca do Ribatejo e Sobralinho, Lisboa;41
Alverca do Ribatejo e Sobralinho, Lisboa;33
Alverca do Ribatejo e Sobralinho, Lisboa;31
Arcos de Valdevez (Salvador), Vila Fonche e Parada, Viana do Castelo;291
Arcos de Valdevez (Salvador), Vila Fonche e Parada, Viana do Castelo;37
Miraflores, Oeiras;68
Miraflores, Oeiras;18
Miraflores, Oeiras;7
Miraflores, Oeiras;5
Vale de Estacas, Santarém;58
Santa Catarina, Porto;213
Santa Catarina, Porto;63
Santa Catarina, Porto;5
Alhos Vedros, Setúbal;81
Alhos Vedros, Setúbal;39
Alhos Vedros, Setúbal;19
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;69
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;17
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;6
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;3
Odivelas, Lisboa;60
Odivelas, Lisboa;24
Odivelas, Lisboa;17
Odivelas, Lisboa;14
Parque das Nações - Expo Norte, Lisboa;64
Parque das Nações - Expo Norte, Lisboa;31
Parque das Nações - Expo Norte, Lisboa;19
Meadela, Viana do Castelo;269
Meadela, Viana do Castelo;2
Carcavelos e Parede, Lisboa;70
Carcavelos e Parede, Lisboa;9
Carcavelos e Parede, Lisboa;4
Massamá e Monte Abraão, Lisboa;63
Massamá e Monte Abraão, Lisboa;15
Massamá e Monte Abraão, Lisboa;12
Massamá e Monte Abraão, Lisboa;6
Carcavelos e Parede, Lisboa;70
Carcavelos e Parede, Lisboa;9
Carcavelos e Parede, Lisboa;4
Carcavelos e Parede, Lisboa;70
Carcavelos e Parede, Lisboa;9
Carcavelos e Parede, Lisboa;4
Carcavelos e Parede, Lisboa;70
Carcavelos e Parede, Lisboa;9
Carcavelos e Parede, Lisboa;4
Carcavelos e Parede, Lisboa;70
Carcavelos e Parede, Lisboa;9
Carcavelos e Parede, Lisboa;4
Carcavelos e Parede, Lisboa;70
Carcavelos e Parede, Lisboa;9
Carcavelos e Parede, Lisboa;4
Carcavelos e Parede, Lisboa;70
Carcavelos e Parede, Lisboa;9
Carcavelos e Parede, Lisboa;4
Carcavelos e Parede, Lisboa;70
Carcavelos e Parede, Lisboa;9
Carcavelos e Parede, Lisboa;4
Carcavelos e Parede, Lisboa;70
Carcavelos e Parede, Lisboa;9
Carcavelos e Parede, Lisboa;4
Carcavelos e Parede, Lisboa;70
Carcavelos e Parede, Lisboa;9
Carcavelos e Parede, Lisboa;4
Carcavelos e Parede, Lisboa;70
Carcavelos e Parede, Lisboa;9
Carcavelos e Parede, Lisboa;4
Carcavelos e Parede, Lisboa;70
Carcavelos e Parede, Lisboa;9
Carcavelos e Parede, Lisboa;4
Carcavelos e Parede, Lisboa;70
Carcavelos e Parede, Lisboa;9
Carcavelos e Parede, Lisboa;4
Carcavelos e Parede, Lisboa;70
Carcavelos e Parede, Lisboa;9
Carcavelos e Parede, Lisboa;4
Carcavelos e Parede, Lisboa;70
Carcavelos e Parede, Lisboa;9
Carcavelos e Parede, Lisboa;4
Feira Nova, Amares;269
Feira Nova, Amares;41
Feira Nova, Amares;37
Praia da Rocha, Portimão;255
Praia da Rocha, Portimão;0
Olivais Sul, Lisboa;65
Olivais Sul, Lisboa;29
Olivais Sul, Lisboa;16
São Félix da Marinha, Vila Nova de Gaia;199
São Félix da Marinha, Vila Nova de Gaia;75
São Félix da Marinha, Vila Nova de Gaia;13
São Félix da Marinha, Vila Nova de Gaia;2
Monte Gordo, Vila Real de Santo António;290
Monte Gordo, Vila Real de Santo António;96
Serralves, Porto;212
Serralves, Porto;61
Serralves, Porto;1
Valongo, Porto;219
Valongo, Porto;63
Valongo, Porto;15
Monte Gordo, Vila Real de Santo António;290
Monte Gordo, Vila Real de Santo António;96
Sto. Ant. Charneca / Cidade Sol, Barreiro;81
Sto. Ant. Charneca / Cidade Sol, Barreiro;37
Sto. Ant. Charneca / Cidade Sol, Barreiro;17
Montijo e Afonsoeiro, Setúbal;77
Montijo e Afonsoeiro, Setúbal;43
Montijo e Afonsoeiro, Setúbal;25
Montijo e Afonsoeiro, Setúbal;77
Montijo e Afonsoeiro, Setúbal;43
Montijo e Afonsoeiro, Setúbal;25
Nacional 1, Santa Maria da Feira;194
Nacional 1, Santa Maria da Feira;86
Nacional 1, Santa Maria da Feira;25
Nacional 1, Santa Maria da Feira;12
Montijo e Afonsoeiro, Setúbal;77
Montijo e Afonsoeiro, Setúbal;43
Montijo e Afonsoeiro, Setúbal;25
Montijo e Afonsoeiro, Setúbal;77
Montijo e Afonsoeiro, Setúbal;43
Montijo e Afonsoeiro, Setúbal;25
Damaia de Cima, Amadora;65
Damaia de Cima, Amadora;20
Damaia de Cima, Amadora;11
Damaia de Cima, Amadora;8
Marinha Grande, Leiria;59
Marinha Grande, Leiria;46
Montijo e Afonsoeiro, Setúbal;77
Montijo e Afonsoeiro, Setúbal;43
Montijo e Afonsoeiro, Setúbal;25
Venteira, Lisboa;63
Venteira, Lisboa;18
Venteira, Lisboa;12
Venteira, Lisboa;8
Vila do Conde, Porto;231
Vila do Conde, Porto;39
Vila do Conde, Porto;23
Vila do Conde, Porto;18
Praia da Rocha, Portimão;255
Praia da Rocha, Portimão;0
Montijo e Afonsoeiro, Setúbal;77
Montijo e Afonsoeiro, Setúbal;43
Montijo e Afonsoeiro, Setúbal;25
Campo de Ourique, Lisboa;69
Campo de Ourique, Lisboa;24
Campo de Ourique, Lisboa;10
Amial, Porto;216
Amial, Porto;60
Amial, Porto;6
Tortosendo, Castelo Branco;187
Tortosendo, Castelo Branco;141
Tortosendo, Castelo Branco;127
Tortosendo, Castelo Branco;116
Bairro dos Actores, Lisboa;69
Bairro dos Actores, Lisboa;27
Bairro dos Actores, Lisboa;11
Feijó, Almada;76
Feijó, Almada;25
Feijó, Almada;6
Marco, Porto;59
Vilar de Andorinho, Vila Nova de Gaia;209
Vilar de Andorinho, Vila Nova de Gaia;66
Vilar de Andorinho, Vila Nova de Gaia;6
Conde I, Sesimbra;100
Conde I, Sesimbra;42
Conde I, Sesimbra;25
Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães, Viana do Castelo;287
Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães, Viana do Castelo;39
Cascais e Estoril, Lisboa;68
Cascais e Estoril, Lisboa;0
Paçô, Viana do Castelo;273
Paçô, Viana do Castelo;7
Lagoa e Carvoeiro, Faro;258
Lagoa e Carvoeiro, Faro;9
Pedra Mourinha, Portimão;252
Pedra Mourinha, Portimão;3
Santa Maria Maior, Vila Real;312
Santa Maria Maior, Vila Real;113
Santa Maria Maior, Vila Real;111
Peniche, Peniche;4
Monte Gordo, Vila Real de Santo António;290
Monte Gordo, Vila Real de Santo António;96
Venteira, Amadora;64
Venteira, Amadora;20
Venteira, Amadora;12
Venteira, Amadora;8
Venteira, Amadora;64
Venteira, Amadora;20
Venteira, Amadora;12
Venteira, Amadora;8
Venteira, Amadora;64
Venteira, Amadora;20
Venteira, Amadora;12
Venteira, Amadora;8
Loures, Loures;57
Loures, Loures;27
Loures, Loures;21
Loures, Loures;18
Buarcos e São Julião, Coimbra;102
Buarcos e São Julião, Coimbra;95
Buarcos e São Julião, Coimbra;0
Venteira, Amadora;64
Venteira, Amadora;20
Venteira, Amadora;12
Venteira, Amadora;8
Matosinhos Sul, Matosinhos;214
Matosinhos Sul, Matosinhos;58
Matosinhos Sul, Matosinhos;3
Campo de Ourique, Lisboa;69
Campo de Ourique, Lisboa;24
Campo de Ourique, Lisboa;10
Santa Maria Maior, Lisboa;70
Santa Maria Maior, Lisboa;27
Santa Maria Maior, Lisboa;11
Ajuda, Lisboa;69
Ajuda, Lisboa;21
Ajuda, Lisboa;8
Baguim do Monte - Igreja, Gondomar;218
Baguim do Monte - Igreja, Gondomar;61
Baguim do Monte - Igreja, Gondomar;12
Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail, Aveiro;184
Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail, Aveiro;100
Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail, Aveiro;38
Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail, Aveiro;23
Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal;73
Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal;25
Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal;7
Fluvial, Porto;211
Fluvial, Porto;62
Fluvial, Porto;1
Ramalha/Centro Sul, Almada;74
Ramalha/Centro Sul, Almada;25
Ramalha/Centro Sul, Almada;6
Peniche, Peniche;4
CARRIÇO, Pombal;89
CARRIÇO, Pombal;17
Canidelo, Porto;208
Canidelo, Porto;65
Canidelo, Porto;3
Santo António dos Cavaleiros e Frielas, Lisboa;58
Santo António dos Cavaleiros e Frielas, Lisboa;28
Santo António dos Cavaleiros e Frielas, Lisboa;20
Santo António dos Cavaleiros e Frielas, Lisboa;18
Gulpilhares e Valadares, Porto;206
Gulpilhares e Valadares, Porto;68
Gulpilhares e Valadares, Porto;7
S.Cosme, Gondomar;213
S.Cosme, Gondomar;67
S.Cosme, Gondomar;12
Consolação, Peniche;0
S.Cosme, Gondomar;213
S.Cosme, Gondomar;67
S.Cosme, Gondomar;12
Laranjeiro, Almada;73
Laranjeiro, Almada;25
Laranjeiro, Almada;6
Santa Marinha e São Pedro da Afurada, Porto;210
Santa Marinha e São Pedro da Afurada, Porto;65
Santa Marinha e São Pedro da Afurada, Porto;4
Braga (São Vítor), Braga;260
Braga (São Vítor), Braga;39
Braga (São Vítor), Braga;31
São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça, Setúbal;97
São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça, Setúbal;50
São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça, Setúbal;29
A dos Cunhados e Maceira, Lisboa;20
Praia, Póvoa de Varzim;234
Praia, Póvoa de Varzim;35
Praia, Póvoa de Varzim;26
Praia, Póvoa de Varzim;14
Amparo, Funchal;1008
Amparo, Funchal;913
Canidelo, Porto;208
Canidelo, Porto;65
Canidelo, Porto;3
Covilhã e Canhoso, Castelo Branco;191
Covilhã e Canhoso, Castelo Branco;138
Covilhã e Canhoso, Castelo Branco;126
Covilhã e Canhoso, Castelo Branco;118
São Carlos, Sintra;58
São Carlos, Sintra;11
São Carlos, Sintra;7
Vila Nova de Famalicão e Calendário, Braga;240
Vila Nova de Famalicão e Calendário, Braga;41
Vila Nova de Famalicão e Calendário, Braga;29
Vila Nova de Famalicão e Calendário, Braga;23
Quinta da Cavaleira, Sintra;57
Quinta da Cavaleira, Sintra;13
Quinta da Cavaleira, Sintra;9
Praça Rainha D. Amélia, Porto;213
Praça Rainha D. Amélia, Porto;63
Praça Rainha D. Amélia, Porto;6
Praça Rainha D. Amélia, Porto;213
Praça Rainha D. Amélia, Porto;63
Praça Rainha D. Amélia, Porto;6
Santos, Lisboa, Lisboa;70
Santos, Lisboa, Lisboa;25
Santos, Lisboa, Lisboa;9
Parada de Cunhos, Vila Real;256
Parada de Cunhos, Vila Real;100
Parada de Cunhos, Vila Real;77
Antas, Porto;214
Antas, Porto;62
Antas, Porto;7
Conceição, Faro;281
Conceição, Faro;55
Guarda, Guarda;160
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;69
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;17
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;6
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;3
Vilar de Andorinho, Porto;208
Vilar de Andorinho, Porto;68
Vilar de Andorinho, Porto;9
Quarteira, Faro;273
Quarteira, Faro;38
Castanheira do Ribatejo e Cachoeiras, Lisboa;49
Castanheira do Ribatejo e Cachoeiras, Lisboa;44
Castanheira do Ribatejo e Cachoeiras, Lisboa;42
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;69
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;17
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;6
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;3
Madredeus, Lisboa;68
Madredeus, Lisboa;29
Madredeus, Lisboa;14
São Cosme Zona 1, Gondomar;213
São Cosme Zona 1, Gondomar;67
São Cosme Zona 1, Gondomar;12
Nossa Senhora da Piedade, Santarém;77
Nossa Senhora da Piedade, Santarém;60
Malveira, Mafra;44
Malveira, Mafra;29
Malveira, Mafra;20
Cascais e Estoril, Lisboa;68
Cascais e Estoril, Lisboa;0
Chã, Figueira da Foz;103
Chã, Figueira da Foz;95
Chã, Figueira da Foz;4
Chã, Figueira da Foz;103
Chã, Figueira da Foz;95
Chã, Figueira da Foz;4
Palmela, Setúbal;92
Palmela, Setúbal;50
Palmela, Setúbal;30
Chã, Figueira da Foz;103
Chã, Figueira da Foz;95
Chã, Figueira da Foz;4
Chã, Figueira da Foz;103
Chã, Figueira da Foz;95
Chã, Figueira da Foz;4
Chã, Figueira da Foz;103
Chã, Figueira da Foz;95
Chã, Figueira da Foz;4
Chã, Figueira da Foz;103
Chã, Figueira da Foz;95
Chã, Figueira da Foz;4
Campo e Sobrado, Porto;223
Campo e Sobrado, Porto;61
Campo e Sobrado, Porto;18
Chã, Figueira da Foz;103
Chã, Figueira da Foz;95
Chã, Figueira da Foz;4
São Brás de Alportel, Faro;273
São Brás de Alportel, Faro;57
Shopping, Vila Real;259
Shopping, Vila Real;101
Shopping, Vila Real;79
Nova Palmela, Palmela;92
Nova Palmela, Palmela;50
Nova Palmela, Palmela;30
Faro (Sé e São Pedro), Faro;285
Faro (Sé e São Pedro), Faro;54
Chã, Figueira da Foz;103
Chã, Figueira da Foz;95
Chã, Figueira da Foz;4
Oliveira do Douro, Porto;211
Oliveira do Douro, Porto;65
Oliveira do Douro, Porto;7
Mina de Água, Lisboa;61
Mina de Água, Lisboa;19
Mina de Água, Lisboa;14
Mina de Água, Lisboa;10
Falagueira-Venda Nova, Lisboa;64
Falagueira-Venda Nova, Lisboa;20
Falagueira-Venda Nova, Lisboa;12
Falagueira-Venda Nova, Lisboa;9
Mina, Amadora;62
Mina, Amadora;19
Mina, Amadora;13
Mina, Amadora;9
Ericeira, Lisboa;39
Ericeira, Lisboa;28
Ericeira, Lisboa;15
Sines, Setúbal;158
Sines, Setúbal;97
Sines, Setúbal;83
Sines, Setúbal;26
Calhariz de Benfica - Laranjeiras, Lisboa;66
Calhariz de Benfica - Laranjeiras, Lisboa;23
Calhariz de Benfica - Laranjeiras, Lisboa;11
Calhariz de Benfica - Laranjeiras, Lisboa;10
Vilamoura, Loulé;271
Vilamoura, Loulé;37
Caparica e Trafaria, Setúbal;74
Caparica e Trafaria, Setúbal;21
Caparica e Trafaria, Setúbal;2
Gaia Shopping, Vila Nova de Gaia;209
Gaia Shopping, Vila Nova de Gaia;66
Gaia Shopping, Vila Nova de Gaia;5
Valbom Zona 3, Gondomar;211
Valbom Zona 3, Gondomar;67
Valbom Zona 3, Gondomar;9
Costa de Caparica, Almada;76
Costa de Caparica, Almada;20
Costa de Caparica, Almada;0
Rotunda do Forcado, Santarém;56
Vila Nova de Famalicão e Calendário, Braga;240
Vila Nova de Famalicão e Calendário, Braga;41
Vila Nova de Famalicão e Calendário, Braga;29
Vila Nova de Famalicão e Calendário, Braga;23
Quelfes, Faro;285
Quelfes, Faro;63
Monte Abraão, Sintra;63
Monte Abraão, Sintra;17
Monte Abraão, Sintra;13
Monte Abraão, Sintra;7
São Domingos de Benfica, Lisboa;65
São Domingos de Benfica, Lisboa;24
São Domingos de Benfica, Lisboa;12
Peso da Régua e Godim, Vila Real;244
Peso da Régua e Godim, Vila Real;104
Peso da Régua e Godim, Vila Real;74
Peso da Régua e Godim, Vila Real;73
Laranjeiro e Feijó, Setúbal;76
Laranjeiro e Feijó, Setúbal;25
Laranjeiro e Feijó, Setúbal;6
Telões, Porto;244
Telões, Porto;74
Telões, Porto;50
Lagos, Lagos;3863
Lagos, Lagos;3609
São Vicente, Lisboa;70
São Vicente, Lisboa;27
São Vicente, Lisboa;12
São Vicente, Lisboa;70
São Vicente, Lisboa;27
São Vicente, Lisboa;12
Caniço, Ilha da Madeira;1001
Caniço, Ilha da Madeira;906
São Vicente, Lisboa;70
São Vicente, Lisboa;27
São Vicente, Lisboa;12
Laranjeiro, Almada;73
Laranjeiro, Almada;25
Laranjeiro, Almada;6
Portimão Centro, Portimão;253
Portimão Centro, Portimão;2
Rio de Mouro, Lisboa;62
Rio de Mouro, Lisboa;12
Rio de Mouro, Lisboa;8
São Vicente, Lisboa;70
São Vicente, Lisboa;27
São Vicente, Lisboa;12
Rio Mau, Vila do Conde;237
Rio Mau, Vila do Conde;35
Rio Mau, Vila do Conde;27
Rio Mau, Vila do Conde;14
Previdência, Porto;not found
Póvoa de Santo Adrião e Olival Basto, Lisboa;60
Póvoa de Santo Adrião e Olival Basto, Lisboa;27
Póvoa de Santo Adrião e Olival Basto, Lisboa;18
Póvoa de Santo Adrião e Olival Basto, Lisboa;16
Centro, Guarda;223
Centro, Guarda;184
Centro, Guarda;136
Centro, Guarda;126
Paredes, Porto;222
Paredes, Porto;65
Paredes, Porto;21
