Location;Distance to Nearest Coastal Point (km)
Santo António dos Cavaleiros e Frielas, Lisboa;18
Gulpilhares e Valadares, Porto;7
S.Cosme, Gondomar;12
Consolação, Peniche;0
S.Cosme, Gondomar;12
Laranjeiro, Almada;6
Santa Marinha e São Pedro da Afurada, Porto;4
Braga (São Vítor), Braga;31
São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça, Setúbal;29
A dos Cunhados e Maceira, Lisboa;20
Praia, Póvoa de Varzim;14
Amparo, Funchal;913
Canidelo, Porto;3
Covilhã e Canhoso, Castelo Branco;118
São Carlos, Sintra;7
Vila Nova de Famalicão e Calendário, Braga;23
Quinta da Cavaleira, Sintra;9
Praça Rainha D. Amélia, Porto;6
Praça Rainha D. Amélia, Porto;6
Santos, Lisboa, Lisboa;9
Parada de Cunhos, Vila Real;77
Antas, Porto;7
Conceição, Faro;55
Guarda, Guarda;160
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;3
Vilar de Andorinho, Porto;9
Quarteira, Faro;38
Castanheira do Ribatejo e Cachoeiras, Lisboa;42
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;3
Madredeus, Lisboa;14
São Cosme Zona 1, Gondomar;12
Nossa Senhora da Piedade, Santarém;60
Malveira, Mafra;20
Cascais e Estoril, Lisboa;0
Chã, Figueira da Foz;4
Chã, Figueira da Foz;4
Palmela, Setúbal;30
Chã, Figueira da Foz;4
Chã, Figueira da Foz;4
Chã, Figueira da Foz;4
Chã, Figueira da Foz;4
Campo e Sobrado, Porto;18
Chã, Figueira da Foz;4
São Brás de Alportel, Faro;57
Shopping, Vila Real;79
Nova Palmela, Palmela;30
Faro (Sé e São Pedro), Faro;54
Chã, Figueira da Foz;4
Oliveira do Douro, Porto;7
Mina de Água, Lisboa;10
Falagueira-Venda Nova, Lisboa;9
Mina, Amadora;9
Ericeira, Lisboa;15
Sines, Setúbal;26
Calhariz de Benfica - Laranjeiras, Lisboa;10
Vilamoura, Loulé;37
Caparica e Trafaria, Setúbal;2
Gaia Shopping, Vila Nova de Gaia;5
Valbom Zona 3, Gondomar;9
Costa de Caparica, Almada;0
Rotunda do Forcado, Santarém;56
Vila Nova de Famalicão e Calendário, Braga;23
Quelfes, Faro;63
Monte Abraão, Sintra;7
São Domingos de Benfica, Lisboa;12
Peso da Régua e Godim, Vila Real;73
Laranjeiro e Feijó, Setúbal;6
Telões, Porto;50
Lagos, Lagos;3609
São Vicente, Lisboa;12
São Vicente, Lisboa;12
Caniço, Ilha da Madeira;906
São Vicente, Lisboa;12
Laranjeiro, Almada;6
Portimão Centro, Portimão;2
Rio de Mouro, Lisboa;8
São Vicente, Lisboa;12
Rio Mau, Vila do Conde;14
Previdência, Porto;0
Póvoa de Santo Adrião e Olival Basto, Lisboa;16
Centro, Guarda;126
Paredes, Porto;21
Brandoa, Amadora;10
Massamá e Monte Abraão, Lisboa;6
St.º António da Caparica, Almada;0
S. Domingos Benfica, Lisboa;12
Quinta das Lágrimas / Quinta da Varzea, Coimbra;38
Ramalde, Porto;3
Castelo, Castelo Branco;123
Centro de Saúde, Castelo Branco;160
Cascais e Estoril, Lisboa;0
Cabanas Tavira, Tavira;79
Ermesinde, Porto;12
Vila Nova Caparica, Almada;2
Perafita, Lavra e Santa Cruz do Bispo, Porto;8
Almancil, Faro;45
Benfica, Lisboa;9
Faro (Sé e São Pedro), Faro;54
Matosinhos e Leça da Palmeira, Porto;4
Olivais Sul, Lisboa;16
Olhão Baixa, Olhão;62
Polo Universitário, Porto;6
Polo Universitário, Porto;6
Polo Universitário, Porto;6
Polo Universitário, Porto;6
Polo Universitário, Porto;6
Polo Universitário, Porto;6
Polo Universitário, Porto;6
Polo Universitário, Porto;6
Polo Universitário, Porto;6
Arcos de Valdevez (São Paio) e Giela, Viana do Castelo;39
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Albufeira e Olhos de Água, Faro;27
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Olhão Centro, Olhão;63
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Albufeira e Olhos de Água, Faro;27
Benfica, Lisboa;9
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Nacional 1, Santa Maria da Feira;12
Santa Maria Maior, Lisboa;11
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Matosinhos e Leça da Palmeira, Porto;4
Rio Tinto - Forno, Gondomar;9
ERA Palmela Azeitao, Barreiro;23
Lisboa, Amadora;8
Santo António da Charneca, Setúbal;17
S. Gens, Matosinhos;5
Águas Santas, Porto;10
São Cosme Zona 6, Gondomar;12
Valongo, Porto;15
São João da Madeira, Aveiro;17
Silvares, Pias, Nogueira e Alvarenga, Porto;37
Moledo e Cristelo, Viana do Castelo;17
Rio Tinto - Av. da Conduta, Gondomar;10
Verderena / Avenida do Bocage, Barreiro;14
Verderena / Estação dos Barcos, Barreiro;14
Paranhos, Porto;6
Meixomil, Porto;27
Serra das Minas, Sintra;9
Guarda, Guarda;160
Arroios, Lisboa;12
Algueirão, Sintra;11
Santa Clara e Castelo Viegas, Coimbra;38
ERA Palmela Azeitao, Moita;29
Pegões, Montijo;55
Pragal, Almada;6
Seia, São Romão e Lapa dos Dinheiros, Guarda;102
ERA Palmela Azeitao, Setúbal;29
Campo de Ourique, Lisboa;10
ERA Palmela Azeitao, Setúbal;29
Gandra, Porto;20
Laranjeiro e Feijó, Setúbal;6
Oliveira do Douro, Porto;7
Espinho, Aveiro;0
Nogueira, Fraião e Lamaçães, Braga;31
Campo de Ourique, Lisboa;10
Pedroso e Seixezelo, Porto;9
Nossa Senhora da Piedade, Santarém;60
Nevogilde, Porto;2
Marrazes e Barosa, Leiria;45
Chainça, Abrantes;95
Setúbal (São Sebastião), Setúbal;34
Nogueira da Regedoura, Aveiro;5
Fogueteiro, Seixal;12
Alverca do Ribatejo e Sobralinho, Lisboa;31
Pinhal Novo, Setúbal;27
Matosinhos e Leça da Palmeira, Porto;4
Antas, Porto;7
Vila Praia de Âncora, Viana do Castelo;13
Ao Tojal, Lisboa;35
Lisboa, Lisboa;11
Antas, Porto;7
Moscavide, Loures;18
São Vicente, Lisboa;12
Portimão, Faro;1
Portimão, Faro;1
Dafundo, Oeiras;3
Olivais, Lisboa;16
Santo António dos Cavaleiros e Frielas, Lisboa;18
Santa Maria Maior, Vila Real;111
Selho (São Cristóvão), Braga;37
Jardins de Benfica, Lisboa;9
Belém, Lisboa;6
Chafé, Viana do Castelo;6
Chafé, Viana do Castelo;6
Samora Correia, Santarém;43
Setúbal (São Sebastião), Setúbal;34
Ferreiros, Prozelo e Besteiros, Braga;36
Lousã, Lousã;54
Corroios, Setúbal;7
Torres da Bela Vista, Loures;18
Olhão, Faro;62
Esposende, Marinhas e Gandra, Braga;3
Areeiro, Lisboa;14
Santa Maria da Feira, Travanca, Sanfins e Espargo, Aveiro;11
Benfica, Lisboa;9
Carvalhido, Porto;4
Vilamoura, Loulé;37
Odivelas, Odivelas;14
Gouveia, Guarda;105
Pedrouços, Lisboa;16
Centro, Olhão;62
Carregado e Cadafais, Lisboa;45
Albufeira e Olhos de Água, Faro;27
Moncarapacho e Fuseta, Faro;66
Parque das Nações - Expo Sul, Lisboa;17
Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Lisboa;1
Ferreiras, Faro;25
Belas, Sintra;9
SJM 3, São João da Madeira;17
Lejana, Faro;54
Marco, Porto;60
Lumiar, Lisboa;13
Almada, Almada;6
