Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Metropolitan Areas;Large cities;Coastal Locations;Median Age;Distance To Ocean
Estrela, Lisboa;599000;1.0;2.0;134.0;134.0;0.0;;Not available;True;True;True;True;False;44.8;8
PER2 - Carvalhos, Vila Nova de Gaia;155000;1.0;1.0;40.0;60.0;1.0;1.0;Not available;True;False;True;True;False;46.8;8
Tavira (Santa Maria e Santiago), Faro;290000;2.0;2.0;75.0;83.0;0.0;;Not available;True;False;False;False;True;45.7;79
Parque das Nações, Lisboa;325000;2.0;1.0;67.0;67.0;0.0;;Not available;True;True;True;True;False;44.8;18
Alfena, Porto;240000;3.0;2.0;119.0;166.0;2.0;3.0;Energy Performance Certificate;False;False;True;True;True;47.0;15
Parque das Nações, Lisboa;320000;2.0;1.0;67.0;67.0;0.0;;Not available;True;True;True;True;False;44.8;18
Meadela, Viana do Castelo;220000;3.0;2.0;97.0;97.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;True;48.8;2
Parque das Nações, Lisboa;295000;1.0;1.0;60.0;67.0;0.0;;Not available;True;True;True;True;False;44.8;18
Amora, Setúbal;160000;2.0;1.0;74.0;74.0;0.0;;Not available;True;False;True;True;False;46.6;9
Parque das Nações, Lisboa;315000;2.0;1.0;67.0;;0.0;;Not available;True;True;True;True;False;44.8;18
Marrazes e Barosa, Leiria;230000;3.0;2.0;102.0;114.0;1.0;4.0;Energy Performance Certificate;False;False;False;False;False;46.4;45
Parque das Nações, Lisboa;225000;1.0;2.0;47.0;47.0;0.0;;Not available;True;True;True;True;False;44.8;18
Corroios, Setúbal;198500;2.0;1.0;;;0.0;;Not available;True;False;True;True;False;46.6;7
Arroios, Lisboa;216000;2.0;1.0;43.0;45.0;0.0;;Not available;True;True;True;True;False;44.8;12
Urb. Colinas do Cruzeiro, Odivelas;355000;2.0;2.0;100.0;100.0;2.0;3.0;Not available;False;False;False;False;False;43.7;13
Marco, Porto;252000;3.0;2.0;149.0;149.0;1.0;2.0;Not available;True;False;True;True;True;47.0;60
Marco, Porto;189000;2.0;2.0;;;1.0;2.0;Not available;True;False;True;True;True;47.0;60
Marco, Porto;189000;2.0;2.0;92.0;92.0;1.0;1.0;Not available;True;False;True;True;True;47.0;60
Marco, Porto;179000;2.0;2.0;92.0;92.0;1.0;0.0;Not available;True;False;True;True;True;47.0;60
Parque das Nações - Expo Sul, Lisboa;850000;3.0;3.0;182.0;182.0;2.0;3.0;Energy Performance Certificate;False;True;True;True;False;44.8;17
Almancil, Faro;310000;3.0;2.0;121.0;157.0;2.0;3.0;Energy Performance Certificate;False;False;False;False;True;45.7;45
Moncarapacho e Fuseta, Faro;795000;2.0;2.0;104.0;122.0;2.0;0.0;Not available;True;False;False;False;True;45.7;66
Pinheiro da Bemposta, Oliveira de Azeméis;200000;3.0;2.0;108.0;130.0;1.0;0.0;Not available;True;False;False;False;False;48.5;27
Bonfim, Porto;145000;1.0;1.0;33.0;33.0;0.0;;Not available;True;False;True;True;True;47.0;6
Sátão, Sátão;47000;3.0;2.0;143.0;149.0;0.0;;Not available;True;False;False;False;False;52.1;81
Avenidas Novas, Lisboa;305000;3.0;1.0;85.0;94.0;0.0;;Not available;True;True;True;True;False;44.8;13
Gaeiras, Óbidos;199000;3.0;2.0;101.0;144.0;2.0;2.0;Not available;True;False;False;False;True;48.9;20
